Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
186,"20001, Northwest Washington, Washington",255,"4800 Del Ray Avenue, Woodmont Triangle, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",2063,1653,2574,13022
186,"20001, Northwest Washington, Washington",256,"6900 Arlington Road, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",1829,1486,2250,12776
186,"20001, Northwest Washington, Washington",257,"7700 Wisconsin Avenue, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",1963,1577,2443,12666
186,"20001, Northwest Washington, Washington",259,"6600 Peaceful Street, Clinton","07/31/2016 - 08/28/2016, Every day, Daily Average",1786,1424,2239,32017
186,"20001, Northwest Washington, Washington",260,"1900 Addison Road South, District Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",2064,1472,2893,17141
186,"20001, Northwest Washington, Washington",262,"6900 Ames Street, Morningside","07/31/2016 - 08/28/2016, Every day, Daily Average",1463,1114,1920,18461
186,"20001, Northwest Washington, Washington",263,"1600 Tucker Road, Fort Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1387,1027,1872,22038
186,"20001, Northwest Washington, Washington",264,"4200 Wandering Court, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1357,991,1857,16762
186,"20001, Northwest Washington, Washington",265,"1800 Metzerott Road, Adelphi","07/31/2016 - 08/28/2016, Every day, Daily Average",2074,1601,2685,11948
186,"20001, Northwest Washington, Washington",266,"3300 Gumwood Drive, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1880,1514,2333,11372
186,"20001, Northwest Washington, Washington",267,"3900 Old Silver Hill Road, Suitland, Suitland-Silver Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1208,882,1654,14711
186,"20001, Northwest Washington, Washington",268,"6300 Rosecroft Drive, Fort Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1472,1021,2122,21223
186,"20001, Northwest Washington, Washington",269,"8300 Greensboro Drive, McLean","07/31/2016 - 08/28/2016, Every day, Daily Average",1740,1379,2195,32197
186,"20001, Northwest Washington, Washington",270,"5700 Mansfield Drive, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1676,1233,2277,28758
186,"20001, Northwest Washington, Washington",271,"4900 Essex Avenue, Chevy Chase","07/31/2016 - 08/28/2016, Every day, Daily Average",1757,1421,2171,11845
186,"20001, Northwest Washington, Washington",272,"9500 Elvis Lane, Lanham-Seabrook, Goddard","07/31/2016 - 08/28/2016, Every day, Daily Average",1932,1458,2559,21755
186,"20001, Northwest Washington, Washington",273,"6800 Asset Drive, Landover, 13, Kent, Prince George's County, Maryland, United States, 20785","07/31/2016 - 08/28/2016, Every day, Daily Average",1790,1381,2319,14036
186,"20001, Northwest Washington, Washington",274,"2500 Campus Way North, Bowie","07/31/2016 - 08/28/2016, Every day, Daily Average",1672,1192,2343,21784
186,"20001, Northwest Washington, Washington",275,"6200 Surrey Square Lane, District Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1550,1181,2032,15943
186,"20001, Northwest Washington, Washington",276,"6000 Kirby Road, Clinton","07/31/2016 - 08/28/2016, Every day, Daily Average",1639,1286,2088,29931
186,"20001, Northwest Washington, Washington",278,"4100 31st Street, Mount Rainier","07/31/2016 - 08/28/2016, Every day, Daily Average",1333,1035,1715,6456
186,"20001, Northwest Washington, Washington",279,"8800 Colonel Seward Drive, Fort Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1392,1018,1903,22181
186,"20001, Northwest Washington, Washington",280,"5100 Cranmer Way, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1421,980,2060,14304
186,"20001, Northwest Washington, Washington",281,"1600 Brightseat Road, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1668,1269,2190,20759
186,"20001, Northwest Washington, Washington",282,"6200 Springhill Court, Greenbelt","07/31/2016 - 08/28/2016, Every day, Daily Average",1998,1354,2948,21652
186,"20001, Northwest Washington, Washington",283,"5900 Cherrywood Lane, Greenbelt","07/31/2016 - 08/28/2016, Every day, Daily Average",1862,1401,2474,21986
186,"20001, Northwest Washington, Washington",284,"4700 Annapolis Road, Bladensburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1450,1080,1945,8200
186,"20001, Northwest Washington, Washington",285,"8000 New Hampshire Avenue, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1925,1451,2552,10233
186,"20001, Northwest Washington, Washington",286,"2400 University Boulevard East, Adelphi","07/31/2016 - 08/28/2016, Every day, Daily Average",1845,1475,2306,11499
186,"20001, Northwest Washington, Washington",288,"4500 Harvest Road, Camp Springs","07/31/2016 - 08/28/2016, Every day, Daily Average",1564,1108,2206,26269
186,"20001, Northwest Washington, Washington",289,"1400 Farmingdale Avenue, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1463,1009,2120,11248
186,"20001, Northwest Washington, Washington",290,"6000 Sargent Road, Chillum","07/31/2016 - 08/28/2016, Every day, Daily Average",1619,1273,2058,7162
186,"20001, Northwest Washington, Washington",291,"5800 31st Place, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1780,1355,2337,8705
186,"20001, Northwest Washington, Washington",292,"8400 Carrollton Parkway, New Carrollton","07/31/2016 - 08/28/2016, Every day, Daily Average",1332,996,1780,16976
186,"20001, Northwest Washington, Washington",293,"Baltimore-Washington Parkway, 2, Bladensburg, Prince George's County, Maryland, United States, 20781","07/31/2016 - 08/28/2016, Every day, Daily Average",1125,794,1592,11506
186,"20001, Northwest Washington, Washington",294,"5600 64th Avenue, Riverdale, East Riverdale","07/31/2016 - 08/28/2016, Every day, Daily Average",1463,1065,2009,14603
186,"20001, Northwest Washington, Washington",295,"4000 Carozza Court, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1167,807,1687,15519
186,"20001, Northwest Washington, Washington",296,"1700 Ritchie Road, District Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1912,1420,2574,26435
186,"20001, Northwest Washington, Washington",297,"8200 Waterside Court, Fort Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1195,874,1633,23198
186,"20001, Northwest Washington, Washington",298,"6400 61st Place, Riverdale, East Riverdale","07/31/2016 - 08/28/2016, Every day, Daily Average",1544,1090,2185,14623
186,"20001, Northwest Washington, Washington",299,"2400 Rosecroft Court, Oxon Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1718,1205,2447,21755
186,"20001, Northwest Washington, Washington",300,"3800 Matthews Drive, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1722,1191,2488,25397
186,"20001, Northwest Washington, Washington",301,"4900 40th Place, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1751,1343,2281,8140
186,"20001, Northwest Washington, Washington",303,"100 Onondaga Drive, Oxon Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1086,789,1494,15003
186,"20001, Northwest Washington, Washington",304,"1800 South Club Drive, Landover, Greater Landover","07/31/2016 - 08/28/2016, Every day, Daily Average",1627,1154,2292,11709
186,"20001, Northwest Washington, Washington",305,"2800 Crest Avenue, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1176,842,1642,10583
186,"20001, Northwest Washington, Washington",306,"3800 Kearney Road, Brentwood","07/31/2016 - 08/28/2016, Every day, Daily Average",1517,1113,2067,7568
186,"20001, Northwest Washington, Washington",307,"4600 Greenline Court, Suitland, Camp Springs","07/31/2016 - 08/28/2016, Every day, Daily Average",1464,1098,1951,27830
186,"20001, Northwest Washington, Washington",308,"3500 Riviera Street, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1557,1150,2106,16371
186,"20001, Northwest Washington, Washington",310,"3800 Forestville Road, District Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1717,1260,2338,19840
186,"20001, Northwest Washington, Washington",312,"4200 Suitland Road, Suitland-Silver Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1207,885,1644,11980
186,"20001, Northwest Washington, Washington",313,"3900 Livingston Street, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1581,1230,2032,8626
186,"20001, Northwest Washington, Washington",314,"4900 Abbott Drive, Marlow Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1854,1401,2452,23222
186,"20001, Northwest Washington, Washington",315,"2400 Brooks Drive, Suitland, Suitland-Silver Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1441,1047,1981,13721
186,"20001, Northwest Washington, Washington",316,"6200 20th Avenue, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1628,1262,2099,9151
186,"20001, Northwest Washington, Washington",317,"700 Somerset Place, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1562,1086,2245,7494
186,"20001, Northwest Washington, Washington",318,"6700 Red Top Road, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1523,1210,1915,8612
186,"20001, Northwest Washington, Washington",319,"1900 Laguna Road, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",2071,1566,2737,11128
186,"20001, Northwest Washington, Washington",320,"2000 Amherst Road, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1764,1376,2260,9356
186,"20001, Northwest Washington, Washington",321,"4200 Van Buren Street, University Park","07/31/2016 - 08/28/2016, Every day, Daily Average",1912,1437,2543,10537
