"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1844","Sydney - Haymarket - The Rocks (1844)","1869","Sydney - Haymarket - The Rocks (1869)","07/31/2016 - 08/28/2016, Every day, Daily Average",325,170,619
"1844","Sydney - Haymarket - The Rocks (1844)","1870","Sydney - Haymarket - The Rocks (1870)","07/31/2016 - 08/28/2016, Every day, Daily Average",173,82,362
"1844","Sydney - Haymarket - The Rocks (1844)","1871","Sydney - Haymarket - The Rocks (1871)","07/31/2016 - 08/28/2016, Every day, Daily Average",320,176,579
"1844","Sydney - Haymarket - The Rocks (1844)","1872","Sydney - Haymarket - The Rocks (1872)","07/31/2016 - 08/28/2016, Every day, Daily Average",307,164,574
"1844","Sydney - Haymarket - The Rocks (1844)","1873","Sydney - Haymarket - The Rocks (1873)","07/31/2016 - 08/28/2016, Every day, Daily Average",367,206,651
"1844","Sydney - Haymarket - The Rocks (1844)","1874","Sydney - Haymarket - The Rocks (1874)","07/31/2016 - 08/28/2016, Every day, Daily Average",365,207,642
"1844","Sydney - Haymarket - The Rocks (1844)","1875","Sydney - Haymarket - The Rocks (1875)","07/31/2016 - 08/28/2016, Every day, Daily Average",522,337,807
"1844","Sydney - Haymarket - The Rocks (1844)","1876","Sydney - Haymarket - The Rocks (1876)","07/31/2016 - 08/28/2016, Every day, Daily Average",507,331,775
"1844","Sydney - Haymarket - The Rocks (1844)","1877","Sydney - Haymarket - The Rocks (1877)","07/31/2016 - 08/28/2016, Every day, Daily Average",406,255,646
"1844","Sydney - Haymarket - The Rocks (1844)","1878","Sydney - Haymarket - The Rocks (1878)","07/31/2016 - 08/28/2016, Every day, Daily Average",399,250,636
"1844","Sydney - Haymarket - The Rocks (1844)","1879","Sydney - Haymarket - The Rocks (1879)","07/31/2016 - 08/28/2016, Every day, Daily Average",389,232,650
"1844","Sydney - Haymarket - The Rocks (1844)","1880","Sydney - Haymarket - The Rocks (1880)","07/31/2016 - 08/28/2016, Every day, Daily Average",438,255,751
"1844","Sydney - Haymarket - The Rocks (1844)","1881","Sydney - Haymarket - The Rocks (1881)","07/31/2016 - 08/28/2016, Every day, Daily Average",588,359,960
"1844","Sydney - Haymarket - The Rocks (1844)","1882","Sydney - Haymarket - The Rocks (1882)","07/31/2016 - 08/28/2016, Every day, Daily Average",509,320,807
"1844","Sydney - Haymarket - The Rocks (1844)","1883","Sydney - Haymarket - The Rocks (1883)","07/31/2016 - 08/28/2016, Every day, Daily Average",484,301,777
"1844","Sydney - Haymarket - The Rocks (1844)","1884","Sydney - Haymarket - The Rocks (1884)","07/31/2016 - 08/28/2016, Every day, Daily Average",453,292,700
"1844","Sydney - Haymarket - The Rocks (1844)","1885","Sydney - Haymarket - The Rocks (1885)","07/31/2016 - 08/28/2016, Every day, Daily Average",494,301,808
"1844","Sydney - Haymarket - The Rocks (1844)","1886","Sydney - Haymarket - The Rocks (1886)","07/31/2016 - 08/28/2016, Every day, Daily Average",477,306,742
"1844","Sydney - Haymarket - The Rocks (1844)","1887","Sydney - Haymarket - The Rocks (1887)","07/31/2016 - 08/28/2016, Every day, Daily Average",614,341,1104
"1844","Sydney - Haymarket - The Rocks (1844)","1888","Sydney - Haymarket - The Rocks (1888)","07/31/2016 - 08/28/2016, Every day, Daily Average",529,307,911
"1844","Sydney - Haymarket - The Rocks (1844)","1889","Sydney - Haymarket - The Rocks (1889)","07/31/2016 - 08/28/2016, Every day, Daily Average",478,273,835
"1844","Sydney - Haymarket - The Rocks (1844)","1890","Sydney - Haymarket - The Rocks (1890)","07/31/2016 - 08/28/2016, Every day, Daily Average",410,266,630
"1844","Sydney - Haymarket - The Rocks (1844)","1891","Sydney - Haymarket - The Rocks (1891)","07/31/2016 - 08/28/2016, Every day, Daily Average",476,282,803
"1844","Sydney - Haymarket - The Rocks (1844)","1892","Sydney - Haymarket - The Rocks (1892)","07/31/2016 - 08/28/2016, Every day, Daily Average",600,382,941
"1844","Sydney - Haymarket - The Rocks (1844)","1893","Sydney - Haymarket - The Rocks (1893)","07/31/2016 - 08/28/2016, Every day, Daily Average",582,357,946
"1844","Sydney - Haymarket - The Rocks (1844)","1894","Sydney - Haymarket - The Rocks (1894)","07/31/2016 - 08/28/2016, Every day, Daily Average",533,346,820
"1844","Sydney - Haymarket - The Rocks (1844)","1895","Sydney - Haymarket - The Rocks (1895)","07/31/2016 - 08/28/2016, Every day, Daily Average",672,417,1082
"1844","Sydney - Haymarket - The Rocks (1844)","1896","Sydney - Haymarket - The Rocks (1896)","07/31/2016 - 08/28/2016, Every day, Daily Average",593,391,899
"1844","Sydney - Haymarket - The Rocks (1844)","1897","Sydney - Haymarket - The Rocks (1897)","07/31/2016 - 08/28/2016, Every day, Daily Average",519,315,853
"1844","Sydney - Haymarket - The Rocks (1844)","1898","Sydney - Haymarket - The Rocks (1898)","07/31/2016 - 08/28/2016, Every day, Daily Average",490,325,738
"1844","Sydney - Haymarket - The Rocks (1844)","1899","Sydney - Haymarket - The Rocks (1899)","07/31/2016 - 08/28/2016, Every day, Daily Average",486,321,735
"1844","Sydney - Haymarket - The Rocks (1844)","1900","Sydney - Haymarket - The Rocks (1900)","07/31/2016 - 08/28/2016, Every day, Daily Average",652,443,957
"1844","Sydney - Haymarket - The Rocks (1844)","1902","Sydney - Haymarket - The Rocks (1902)","07/31/2016 - 08/28/2016, Every day, Daily Average",595,397,891
"1844","Sydney - Haymarket - The Rocks (1844)","1903","Sydney - Haymarket - The Rocks (1903)","07/31/2016 - 08/28/2016, Every day, Daily Average",475,308,731
"1844","Sydney - Haymarket - The Rocks (1844)","1904","Sydney - Haymarket - The Rocks (1904)","07/31/2016 - 08/28/2016, Every day, Daily Average",540,340,855
"1844","Sydney - Haymarket - The Rocks (1844)","1905","Sydney - Haymarket - The Rocks (1905)","07/31/2016 - 08/28/2016, Every day, Daily Average",675,429,1060
"1844","Sydney - Haymarket - The Rocks (1844)","1906","Sydney - Haymarket - The Rocks (1906)","07/31/2016 - 08/28/2016, Every day, Daily Average",661,428,1019
"1844","Sydney - Haymarket - The Rocks (1844)","1907","Sydney - Haymarket - The Rocks (1907)","07/31/2016 - 08/28/2016, Every day, Daily Average",685,415,1129
"1844","Sydney - Haymarket - The Rocks (1844)","1908","Sydney - Haymarket - The Rocks (1908)","07/31/2016 - 08/28/2016, Every day, Daily Average",711,459,1100
"1844","Sydney - Haymarket - The Rocks (1844)","1912","Waterloo - Beaconsfield (1912)","07/31/2016 - 08/28/2016, Every day, Daily Average",1150,814,1624
"1844","Sydney - Haymarket - The Rocks (1844)","1913","Waterloo - Beaconsfield (1913)","07/31/2016 - 08/28/2016, Every day, Daily Average",850,587,1228
"1844","Sydney - Haymarket - The Rocks (1844)","1914","Waterloo - Beaconsfield (1914)","07/31/2016 - 08/28/2016, Every day, Daily Average",1084,750,1566
"1844","Sydney - Haymarket - The Rocks (1844)","1915","Waterloo - Beaconsfield (1915)","07/31/2016 - 08/28/2016, Every day, Daily Average",1274,903,1796
"1844","Sydney - Haymarket - The Rocks (1844)","1916","Waterloo - Beaconsfield (1916)","07/31/2016 - 08/28/2016, Every day, Daily Average",841,571,1236
"1844","Sydney - Haymarket - The Rocks (1844)","1917","Waterloo - Beaconsfield (1917)","07/31/2016 - 08/28/2016, Every day, Daily Average",967,716,1305
"1844","Sydney - Haymarket - The Rocks (1844)","1918","Waterloo - Beaconsfield (1918)","07/31/2016 - 08/28/2016, Every day, Daily Average",1010,715,1425
"1844","Sydney - Haymarket - The Rocks (1844)","1919","Waterloo - Beaconsfield (1919)","07/31/2016 - 08/28/2016, Every day, Daily Average",956,665,1372
"1844","Sydney - Haymarket - The Rocks (1844)","1920","Waterloo - Beaconsfield (1920)","07/31/2016 - 08/28/2016, Every day, Daily Average",859,571,1291
"1844","Sydney - Haymarket - The Rocks (1844)","1921","Waterloo - Beaconsfield (1921)","07/31/2016 - 08/28/2016, Every day, Daily Average",807,555,1172
"1844","Sydney - Haymarket - The Rocks (1844)","1922","Waterloo - Beaconsfield (1922)","07/31/2016 - 08/28/2016, Every day, Daily Average",1029,732,1444
"1844","Sydney - Haymarket - The Rocks (1844)","1923","Waterloo - Beaconsfield (1923)","07/31/2016 - 08/28/2016, Every day, Daily Average",920,613,1378
"1844","Sydney - Haymarket - The Rocks (1844)","1924","Waterloo - Beaconsfield (1924)","07/31/2016 - 08/28/2016, Every day, Daily Average",856,615,1189
"1844","Sydney - Haymarket - The Rocks (1844)","1925","Waterloo - Beaconsfield (1925)","07/31/2016 - 08/28/2016, Every day, Daily Average",912,658,1262
"1844","Sydney - Haymarket - The Rocks (1844)","1926","Waterloo - Beaconsfield (1926)","07/31/2016 - 08/28/2016, Every day, Daily Average",915,603,1386
"1844","Sydney - Haymarket - The Rocks (1844)","1927","Waterloo - Beaconsfield (1927)","07/31/2016 - 08/28/2016, Every day, Daily Average",691,482,990
"1844","Sydney - Haymarket - The Rocks (1844)","1928","Waterloo - Beaconsfield (1928)","07/31/2016 - 08/28/2016, Every day, Daily Average",854,607,1200
"1844","Sydney - Haymarket - The Rocks (1844)","1929","Waterloo - Beaconsfield (1929)","07/31/2016 - 08/28/2016, Every day, Daily Average",988,709,1376
"1844","Sydney - Haymarket - The Rocks (1844)","1930","Waterloo - Beaconsfield (1930)","07/31/2016 - 08/28/2016, Every day, Daily Average",917,592,1418
"1844","Sydney - Haymarket - The Rocks (1844)","1932","Bondi - Tamarama - Bronte (1932)","07/31/2016 - 08/28/2016, Every day, Daily Average",1308,1037,1649
"1844","Sydney - Haymarket - The Rocks (1844)","1933","Bondi - Tamarama - Bronte (1933)","07/31/2016 - 08/28/2016, Every day, Daily Average",1223,987,1515
"1844","Sydney - Haymarket - The Rocks (1844)","1934","Bondi - Tamarama - Bronte (1934)","07/31/2016 - 08/28/2016, Every day, Daily Average",1241,963,1598
"1844","Sydney - Haymarket - The Rocks (1844)","1935","Bondi - Tamarama - Bronte (1935)","07/31/2016 - 08/28/2016, Every day, Daily Average",1092,828,1438
"1844","Sydney - Haymarket - The Rocks (1844)","1936","Bondi - Tamarama - Bronte (1936)","07/31/2016 - 08/28/2016, Every day, Daily Average",1020,767,1355
"1844","Sydney - Haymarket - The Rocks (1844)","1937","Bondi - Tamarama - Bronte (1937)","07/31/2016 - 08/28/2016, Every day, Daily Average",1104,842,1446
"1844","Sydney - Haymarket - The Rocks (1844)","1939","Bondi Beach - North Bondi (1939)","07/31/2016 - 08/28/2016, Every day, Daily Average",1199,908,1582
"1844","Sydney - Haymarket - The Rocks (1844)","1940","Bondi Beach - North Bondi (1940)","07/31/2016 - 08/28/2016, Every day, Daily Average",1350,1048,1737
"1844","Sydney - Haymarket - The Rocks (1844)","1941","Bondi Beach - North Bondi (1941)","07/31/2016 - 08/28/2016, Every day, Daily Average",1284,1015,1623
"1844","Sydney - Haymarket - The Rocks (1844)","1942","Bondi Beach - North Bondi (1942)","07/31/2016 - 08/28/2016, Every day, Daily Average",1143,874,1493
"1844","Sydney - Haymarket - The Rocks (1844)","1943","Bondi Beach - North Bondi (1943)","07/31/2016 - 08/28/2016, Every day, Daily Average",1318,1023,1697
"1844","Sydney - Haymarket - The Rocks (1844)","1944","Bondi Beach - North Bondi (1944)","07/31/2016 - 08/28/2016, Every day, Daily Average",1174,899,1532
"1844","Sydney - Haymarket - The Rocks (1844)","1945","Bondi Beach - North Bondi (1945)","07/31/2016 - 08/28/2016, Every day, Daily Average",1174,995,1383
"1844","Sydney - Haymarket - The Rocks (1844)","1947","Bondi Junction - Waverly (1947)","07/31/2016 - 08/28/2016, Every day, Daily Average",1145,915,1432
"1844","Sydney - Haymarket - The Rocks (1844)","1948","Bondi Junction - Waverly (1948)","07/31/2016 - 08/28/2016, Every day, Daily Average",1068,800,1424
"1844","Sydney - Haymarket - The Rocks (1844)","1949","Bondi Junction - Waverly (1949)","07/31/2016 - 08/28/2016, Every day, Daily Average",1052,819,1350
"1844","Sydney - Haymarket - The Rocks (1844)","1950","Bondi Junction - Waverly (1950)","07/31/2016 - 08/28/2016, Every day, Daily Average",995,672,1471
"1844","Sydney - Haymarket - The Rocks (1844)","1951","Bondi Junction - Waverly (1951)","07/31/2016 - 08/28/2016, Every day, Daily Average",916,683,1228
"1844","Sydney - Haymarket - The Rocks (1844)","1952","Bondi Junction - Waverly (1952)","07/31/2016 - 08/28/2016, Every day, Daily Average",972,729,1294
"1844","Sydney - Haymarket - The Rocks (1844)","1953","Bondi Junction - Waverly (1953)","07/31/2016 - 08/28/2016, Every day, Daily Average",838,599,1171
"1844","Sydney - Haymarket - The Rocks (1844)","1954","Bondi Junction - Waverly (1954)","07/31/2016 - 08/28/2016, Every day, Daily Average",966,727,1283
