"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"9","Arc de triomphe du Carrousel, Paris","4179","0 Rue Joseph Franceschi, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1063,853,1323
"9","Arc de triomphe du Carrousel, Paris","4180","Place du 11 Novembre 1918, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1476,1146,1899
"9","Arc de triomphe du Carrousel, Paris","4181","0 Rue du Confluent, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1201,912,1579
"9","Arc de triomphe du Carrousel, Paris","4182","0 Rue de Liège, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1436,1113,1852
"9","Arc de triomphe du Carrousel, Paris","4183","0 Rue Jules Guesde, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1410,1059,1876
"9","Arc de triomphe du Carrousel, Paris","4184","0 Rue de Flore, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1330,1031,1714
"9","Arc de triomphe du Carrousel, Paris","4185","0 Rue Paul Vaillant Couturier, Alfortville","09/03/2016 - 10/01/2016, Every day, Daily Average",1060,780,1439
"9","Arc de triomphe du Carrousel, Paris","4186","0 Rue Danielle Mitterrand, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1581,1156,2161
"9","Arc de triomphe du Carrousel, Paris","4187","Ecole Aimé Césaire, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1625,1200,2200
"9","Arc de triomphe du Carrousel, Paris","4188","0 Rue Emile Raspail, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1753,1303,2356
"9","Arc de triomphe du Carrousel, Paris","4189","0 Rue du Colonel Fabien, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1720,1247,2370
"9","Arc de triomphe du Carrousel, Paris","4190","0 Rue Etienne Jodelle, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1625,1190,2218
"9","Arc de triomphe du Carrousel, Paris","4191","0 Rue Marius Barbieri, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1452,1009,2087
"9","Arc de triomphe du Carrousel, Paris","4192","0 Avenue Jeanne d'Arc, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1632,1185,2246
"9","Arc de triomphe du Carrousel, Paris","4193","0 Rue du Midi, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1697,1248,2306
"9","Arc de triomphe du Carrousel, Paris","4194","94110, Arcueil","09/03/2016 - 10/01/2016, Every day, Daily Average",1563,1179,2071
"9","Arc de triomphe du Carrousel, Paris","4195","Allée du Piple, Boissy-Saint-Léger","09/03/2016 - 10/01/2016, Every day, Daily Average",1949,1386,2739
"9","Arc de triomphe du Carrousel, Paris","4196","0 Avenue Charles de Gaulle, Boissy-Saint-Léger","09/03/2016 - 10/01/2016, Every day, Daily Average",1736,1305,2309
"9","Arc de triomphe du Carrousel, Paris","4199","0 Rue Louise Chenu, Boissy-Saint-Léger","09/03/2016 - 10/01/2016, Every day, Daily Average",1666,1364,2034
"9","Arc de triomphe du Carrousel, Paris","4200","0 Rue des Sablons, Boissy-Saint-Léger","09/03/2016 - 10/01/2016, Every day, Daily Average",1699,1248,2312
"9","Arc de triomphe du Carrousel, Paris","4201","0 Rue Guy Môquet, Bonneuil-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1534,1183,1987
"9","Arc de triomphe du Carrousel, Paris","4205","0 Rue Jean Macé, Bonneuil-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1452,1133,1859
"9","Arc de triomphe du Carrousel, Paris","4207","0 Route des Gorres, Bonneuil-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1508,1162,1955
"9","Arc de triomphe du Carrousel, Paris","4208","0 Avenue Auguste Gross, Bonneuil-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1812,1251,2622
"9","Arc de triomphe du Carrousel, Paris","4209","0 Rue Daguerre, Bry-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1362,1066,1739
"9","Arc de triomphe du Carrousel, Paris","4210","0 Rue Léon Maurice Nordmann, Bry-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1442,1177,1765
"9","Arc de triomphe du Carrousel, Paris","4211","0 Rue Léon Menu, Bry-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1678,1281,2196
