Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
1116,"Harborwalk, Waterfront, Boston",1013,"100 Seminary Avenue, Auburndale, Newton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1763,1332,2332,20973
1116,"Harborwalk, Waterfront, Boston",1014,"0 Nixon Road, Framingham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2595,2037,3304,42835
1116,"Harborwalk, Waterfront, Boston",1016,"100 Buckminster Road, Fisher Hill, Brookline","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1752,1342,2286,10841
1116,"Harborwalk, Waterfront, Boston",1017,"0 Tudor Road, Needham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2608,2118,3210,31376
1116,"Harborwalk, Waterfront, Boston",1021,"100 Walpole Street, Sharon","07/31/2016 - 08/28/2016, Weekdays, PM Peak",3709,2731,5036,46224
1116,"Harborwalk, Waterfront, Boston",1023,"0 Norman Street, Milton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2206,1610,3022,21744
1116,"Harborwalk, Waterfront, Boston",1024,"300 Adams Street, Milton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1511,999,2284,17408
1116,"Harborwalk, Waterfront, Boston",1038,"0 Old Rutherford Avenue, Charlestown, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",381,167,867,2287
1116,"Harborwalk, Waterfront, Boston",1039,"0 Flint Place, South Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1050,778,1415,5396
1116,"Harborwalk, Waterfront, Boston",1040,"900 Massachusetts Avenue, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",859,475,1551,8650
1116,"Harborwalk, Waterfront, Boston",1041,"0 Kendall Street, South End, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1117,793,1571,8950
1116,"Harborwalk, Waterfront, Boston",1042,"0 Townsend Street, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1440,1039,1994,10600
1116,"Harborwalk, Waterfront, Boston",1043,"200 Savin Hill Avenue, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1173,736,1868,11099
1116,"Harborwalk, Waterfront, Boston",1044,"0 Ames Street, Mattapan, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2140,1770,2586,14170
1116,"Harborwalk, Waterfront, Boston",1045,"0 Brockton Street, Mattapan, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2200,1718,2815,21752
1116,"Harborwalk, Waterfront, Boston",1047,"0 Ardale Street, Roslindale, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2115,1627,2749,14520
1116,"Harborwalk, Waterfront, Boston",1048,"Airport Road Terminal C - Departure Level, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",356,213,594,8220
1116,"Harborwalk, Waterfront, Boston",1056,"0 Valley Road, Southborough","07/31/2016 - 08/28/2016, Weekdays, PM Peak",3074,2708,3488,43691
1116,"Harborwalk, Waterfront, Boston",1064,"0 Glen Forest Lane, Methuen","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2127,1729,2616,43558
1116,"Harborwalk, Waterfront, Boston",1065,"0 Volk Road, Dedham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2846,2259,3584,35101
1116,"Harborwalk, Waterfront, Boston",1068,"1300 Bennington Street, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1015,721,1427,13144
1116,"Harborwalk, Waterfront, Boston",1075,"0 Oakview Terrace, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1835,1439,2339,10774
1116,"Harborwalk, Waterfront, Boston",1077,"400 Moody Street, South Side, Waltham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2045,1657,2522,21834
1116,"Harborwalk, Waterfront, Boston",1078,"0 Wellesley Street, South Medford, Medford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1172,835,1643,10642
1116,"Harborwalk, Waterfront, Boston",1079,"0 Brent Road, Lexington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1987,1595,2474,30277
1116,"Harborwalk, Waterfront, Boston",1080,"0 Teaberry Lane, Braintree","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2963,1847,4752,30437
1116,"Harborwalk, Waterfront, Boston",1095,"0 Oxford Street, Lynn","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2132,1722,2639,20205
1116,"Harborwalk, Waterfront, Boston",1099,"0 Station Street, Brookline","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1485,1090,2021,9473
1116,"Harborwalk, Waterfront, Boston",1100,"0 Lowell Street, Andover, Andover","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2593,1958,3432,42074
1116,"Harborwalk, Waterfront, Boston",1101,"0 Hay Street, Newbury","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2779,2261,3414,61844
1116,"Harborwalk, Waterfront, Boston",1102,"0 Greenlodge Street, Dedham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2851,2170,3745,35876
1116,"Harborwalk, Waterfront, Boston",1103,"100 Kendrick Avenue, Quincy","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2353,1615,3427,23941
1116,"Harborwalk, Waterfront, Boston",1104,"100 Grove Street, Braintree","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2795,1730,4513,27676
1116,"Harborwalk, Waterfront, Boston",1110,"Cambridge Street, Allston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1017,668,1547,9485
1116,"Harborwalk, Waterfront, Boston",1111,"Northwest Expressway, Tyngsborough","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2622,2218,3099,58018
1116,"Harborwalk, Waterfront, Boston",1112,"1400 Shawsheen Street, Tewksbury","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1753,1373,2237,35300
1116,"Harborwalk, Waterfront, Boston",1113,"200 Rangeway Road, North Billerica, Billerica","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2173,1694,2786,42526
1116,"Harborwalk, Waterfront, Boston",1117,"0 Gold Star Street, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",736,486,1113,9632
1116,"Harborwalk, Waterfront, Boston",1118,"0 McGreevey Way, Mission Hill, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1436,1042,1978,7773
1116,"Harborwalk, Waterfront, Boston",1119,"0 Coleus Park, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1682,1145,2470,11645
1116,"Harborwalk, Waterfront, Boston",1120,"0 Melville Avenue, Dorchester, Dorchester Center, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1788,1244,2568,14146
1116,"Harborwalk, Waterfront, Boston",1122,"100 Webster Avenue, Chelsea","07/31/2016 - 08/28/2016, Weekdays, PM Peak",818,539,1241,9079
1116,"Harborwalk, Waterfront, Boston",1123,"Conifer Path, Jamaica Hills / Pond, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1959,1506,2548,13752
1116,"Harborwalk, Waterfront, Boston",1127,"100 South Border Road, Medford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",955,632,1442,10510
1116,"Harborwalk, Waterfront, Boston",1128,"0 Lowden Avenue, Powder House Square, Somerville","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1329,994,1775,8522
1116,"Harborwalk, Waterfront, Boston",1129,"0 Shepard Street, Neighborhood Nine, Cambridge","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1585,1166,2154,10100
1116,"Harborwalk, Waterfront, Boston",1130,"0 Louise Road, Belmont","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1622,1208,2176,14658
1116,"Harborwalk, Waterfront, Boston",1131,"Yankee Division Highway, Lexington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2155,1719,2700,25753
1116,"Harborwalk, Waterfront, Boston",1135,"100 Main Street, Southborough","07/31/2016 - 08/28/2016, Weekdays, PM Peak",3224,2862,3630,49113
1116,"Harborwalk, Waterfront, Boston",1137,"0 Marion Avenue, Woburn","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1777,1291,2445,23768
1116,"Harborwalk, Waterfront, Boston",1138,"0 Loring Avenue, Winchester","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1555,1204,2006,15437
1116,"Harborwalk, Waterfront, Boston",1140,"300 Mystic Avenue, South Medford, Medford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",810,497,1317,7113
1116,"Harborwalk, Waterfront, Boston",1141,"0 Forest Street, Malden","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1602,1208,2122,15068
1116,"Harborwalk, Waterfront, Boston",1142,"200 Massachusetts Avenue, Arlington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1696,1268,2266,12785
1116,"Harborwalk, Waterfront, Boston",1143,"300 Crescent Street, South Side, Waltham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1760,1441,2148,21422
1116,"Harborwalk, Waterfront, Boston",1144,"0 Scout Road, East Walpole, Walpole","07/31/2016 - 08/28/2016, Weekdays, PM Peak",3489,2567,4741,42375
1116,"Harborwalk, Waterfront, Boston",1146,"200 Low Street, Newburyport","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2959,2439,3589,59497
1116,"Harborwalk, Waterfront, Boston",1151,"0 Saugus Avenue, Saugus","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1653,1217,2245,15753
1116,"Harborwalk, Waterfront, Boston",1157,"100 Blue Ledge Drive, Roslindale, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2527,1864,3424,17623
1116,"Harborwalk, Waterfront, Boston",1160,"100 Austin Street, Hyde Park, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2394,1882,3044,18430
1116,"Harborwalk, Waterfront, Boston",1162,"300 North Road, North Chelmsford, Chelmsford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2344,1950,2816,49307
1116,"Harborwalk, Waterfront, Boston",1163,"300 East Eagle Street, Eagle Hill, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",559,307,1015,7909
1116,"Harborwalk, Waterfront, Boston",1164,"0 West Howell Street, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1019,590,1757,8583
1116,"Harborwalk, Waterfront, Boston",1165,"900 American Legion Highway, Roslindale, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2275,1872,2763,17515
1116,"Harborwalk, Waterfront, Boston",1170,"0 Garden Avenue, Wilmington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1643,1307,2064,28505
1116,"Harborwalk, Waterfront, Boston",1171,"Dike Road, Stoneham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1087,759,1556,18631
1116,"Harborwalk, Waterfront, Boston",1173,"300 Lafayette Street, Salem","07/31/2016 - 08/28/2016, Weekdays, PM Peak",3112,2708,3575,41842
1116,"Harborwalk, Waterfront, Boston",1174,"600 Lynn Fells Parkway, Melrose","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1372,924,2035,16739
1116,"Harborwalk, Waterfront, Boston",1175,"0 Fellsmere Road, Malden","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1354,951,1927,11872
1116,"Harborwalk, Waterfront, Boston",1177,"0 Louds Avenue, Weymouth","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2616,1638,4177,26817
1116,"Harborwalk, Waterfront, Boston",1178,"0 Trustman Terrace, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",607,369,996,8821
1116,"Harborwalk, Waterfront, Boston",1179,"100 West Canton Street, Columbus, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",806,488,1329,5450
1116,"Harborwalk, Waterfront, Boston",1182,"0 Park Street, Andover, Andover","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2510,2061,3056,38242
1116,"Harborwalk, Waterfront, Boston",1185,"0 Parsons Street, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1695,1298,2211,14725
1116,"Harborwalk, Waterfront, Boston",1186,"0 Norway Park, Hyde Park, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2335,1721,3166,23942
1116,"Harborwalk, Waterfront, Boston",1189,"0 Fairbanks Street, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1274,870,1865,14644
1116,"Harborwalk, Waterfront, Boston",1190,"0 Willow Avenue, Davis Square, Somerville","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1458,1114,1907,9263
1116,"Harborwalk, Waterfront, Boston",1191,"0 Springfield Street, Lawrence","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2661,2026,3494,45485
1116,"Harborwalk, Waterfront, Boston",1192,"0 Woodside Road, Winchester","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1535,1150,2047,14634
1116,"Harborwalk, Waterfront, Boston",1193,"1100 Beacon Street, Brookline","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1045,674,1619,6995
1116,"Harborwalk, Waterfront, Boston",1195,"0 Howe Street, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1618,1163,2250,10899
1116,"Harborwalk, Waterfront, Boston",1197,"100 North Pearl Street, Brockton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2949,2125,4091,39201
1116,"Harborwalk, Waterfront, Boston",1198,"100 Ashland Street, Malden","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1337,1011,1766,10021
1116,"Harborwalk, Waterfront, Boston",1199,"Lifecourse Trail, Newton Highlands, Newton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2311,1857,2875,22827
1116,"Harborwalk, Waterfront, Boston",1211,"Chestnut Hill Reservoir Trail, Brighton, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1934,1485,2518,12000
1116,"Harborwalk, Waterfront, Boston",1212,"0 Snow Hill Street, North End, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",363,205,642,1790
1116,"Harborwalk, Waterfront, Boston",1213,"200 East 8th Street, South Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1107,793,1545,10797
1116,"Harborwalk, Waterfront, Boston",1214,"0 East Concord Street, South End, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",902,550,1477,4900
1116,"Harborwalk, Waterfront, Boston",1215,"0 Beauford Lane, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1558,1158,2094,11508
1116,"Harborwalk, Waterfront, Boston",1225,"0 West Elm Avenue, Quincy","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1955,1491,2562,18425
1116,"Harborwalk, Waterfront, Boston",1226,"0 Sturtevant Street, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1335,858,2074,12770
1116,"Harborwalk, Waterfront, Boston",1227,"0 Port Norfolk Street, Dorchester, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1355,882,2081,14608
1116,"Harborwalk, Waterfront, Boston",1228,"0 Ashley Street, Jamaica Plain, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1651,1240,2197,9688
1116,"Harborwalk, Waterfront, Boston",1229,"0 Michael Road, Wakefield","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1503,1146,1970,18484
1116,"Harborwalk, Waterfront, Boston",1230,"100 Millwood Street, Framingham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2557,1976,3308,40150
1116,"Harborwalk, Waterfront, Boston",1232,"400 Newton Street, Chestnut Hill, Brookline","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2105,1662,2665,13982
1116,"Harborwalk, Waterfront, Boston",1233,"0 Thackeray Road, Wellesley Hills, Wellesley","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2132,1649,2756,25310
1116,"Harborwalk, Waterfront, Boston",1237,"100 Colonial Drive, Quincy","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1930,1382,2695,20122
1116,"Harborwalk, Waterfront, Boston",1238,"0 Orient Avenue, Arlington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1928,1519,2446,16517
1116,"Harborwalk, Waterfront, Boston",1239,"0 Walnut Street, Belmont","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1813,1385,2372,15050
1116,"Harborwalk, Waterfront, Boston",1240,"0 Middlesex Circle, Waltham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2243,1780,2824,19201
1116,"Harborwalk, Waterfront, Boston",1241,"0 Kenilworth Street, Newton Corner, Newton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1728,1300,2296,16459
1116,"Harborwalk, Waterfront, Boston",1242,"0 Scribner Park, Auburndale, Newton","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1579,1173,2124,20881
